,Average_class_size,Number_of_classes,Number_of_pupils
Central_Bedfordshire,23,900,"20,703"
Essex,22.4,"3,840","85,958"
Hertfordshire,21.8,"3,782","82,509"
Luton,24.4,592,"14,432"
Norfolk,22.5,"2,042","45,969"
Peterborough,22.4,747,"16,702"
Southend_on_Sea,22.7,599,"13,569"
Suffolk,22.1,"1,841","40,610"
Thurrock,23.9,455,"10,858"
Barking_and_Dagenham,22.1,831,"18,369"
Barnet,21.4,"1,247","26,685"
Bexley,23.4,804,"18,817"
Brent,22.1,865,"19,099"
Bromley,21.8,"1,007","21,924"
Camden,20,467,"9,350"
Croydon,22.6,963,"21,752"
Ealing,22.7,898,"20,346"
Enfield,22,"1,023","22,545"
Greenwich,23.2,728,"16,919"
Hackney,21,655,"13,784"
Hammersmith_and_Fulham,21.3,422,"8,986"
Haringey,21.6,687,"14,815"
Harrow,23,648,"14,924"
Havering,22.8,690,"15,707"
Hillingdon,21.9,927,"20,322"
Hounslow,21.8,860,"18,783"
Islington,21.9,384,"8,393"
Kensington_and_Chelsea,22.2,255,"5,654"
Kingston_upon_Thames,21.7,527,"11,441"
Lambeth,21.6,655,"14,175"
Lewisham,22.9,580,"13,284"
Merton,21.7,440,"9,530"
Newham,23.2,"1,129","26,138"
Redbridge,23.5,"1,119","26,244"
Richmond_upon_Thames,23.4,447,"10,475"
Southwark,20.7,864,"17,894"
Sutton,22.7,824,"18,690"
Tower_Hamlets,21.5,814,"17,514"
Waltham_Forest,22.6,683,"15,434"
Wandsworth,21.5,561,"12,081"
Westminster,20.7,564,"11,665"
Bracknell_Forest,22.1,335,"7,399"
Brighton_and_Hove,22.9,543,"12,455"
Buckinghamshire,22.4,"1,647","36,849"
East_Sussex,22.9,"1,143","26,206"
Hampshire,23.6,"2,932","69,119"
Isle_of_Wight,21.2,314,"6,672"
Kent,22.2,"4,519","100,299"
Medway,21.9,930,"20,347"
Milton_Keynes,23.1,859,"19,861"
Oxfordshire,22.4,"1,703","38,076"
Portsmouth,24.8,406,"10,054"
Reading,22.3,383,"8,544"
Slough,22.3,626,"13,964"
Southampton,22.6,515,"11,648"
Surrey,22.7,"2,681","60,833"
West_Berkshire,21,541,"11,385"
West_Sussex,22.4,"2,039","45,704"
Windsor_and_Maidenhead,21.5,503,"10,829"
Wokingham,21.8,519,"11,314"
Bath_and_North_East_Somerset,21.9,560,"12,262"
"Bournemouth,_Christchurch_and_Poole",21.8,997,"21,686"
"Bristol,_City_of",23.5,967,"22,726"
Cornwall,22,"1,317","28,977"
Devon,22.3,"1,721","38,299"
Dorset,21.9,"1,078","23,651"
Gloucestershire,22.4,"1,696","37,962"
Isles_of_Scilly,18.8,12,226
North_Somerset,22.7,566,"12,857"
Plymouth,21.2,767,"16,255"
Somerset,23,"1,258","28,992"
South_Gloucestershire,22.7,666,"15,092"
Swindon,22.7,563,"12,798"
Torbay,20.5,418,"8,550"
Wiltshire,21.1,"1,355","28,523"
